n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;0;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;1;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;2;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;3;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;4;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;5;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;6;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;7;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;8;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;9;0.0;0.0;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;0;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;1;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;2;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;3;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;4;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;5;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;6;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;7;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;8;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;9;0.0;0.2;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;0;0.0;0.4;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;1;0.0;0.4;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;2;0.0;0.4;2
100;0;0.0;0;0;0.0;0.0;0.0;nan;;0;nan;False;insufficient_degree_data;3;0.0;0.4;2
