n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;closed_wedges;wedges;indegree_alpha;indegree_xmin;indegree_KS;indegree_LRT_exp_R;indegree_LRT_exp_p;indegree_LRT_log_R;indegree_LRT_log_p;indegree_LRT_trunc_R;indegree_LRT_trunc_p;seed;beta;gamma;dim
1000;2148;2.148;41;2.148;7;4.296;41;0.6306279899937557;840;0.41695844116303854;7.879963694122986;5478.0;13138.0;2.445048384875613;3.0;0.08134980577627304;-0.8078543815583927;0.4191744150194655;-2.985254469408331;0.0028334250419938187;-2.65688103021158;3.5261239683670453e-07;0;1.5;0.3;2
1000;2260;2.26;40;2.26;8;4.52;40;0.625328320908905;856;0.4065617805065234;7.456190864485653;6357.0;15636.0;2.8699071152931586;5.0;0.04398362485298912;0.9935243588334334;0.32045448574457247;-1.204505401553993;0.22839429557465696;-1.4857109256882162;0.05247770343726388;1;1.5;0.3;2
1000;1945;1.945;34;1.945;9;3.89;34;0.5978969839976919;835;0.4141942990110529;8.88964534619713;4272.0;10314.0;2.9142505110426025;4.0;0.07448180245718705;-0.025039506052993838;0.9800234522042091;-1.6810780784739252;0.09274774976440393;-1.6216086993934238;0.00501952690929941;2;1.5;0.3;2
1000;2280;2.28;50;2.28;10;4.56;50;0.6199521517858385;869;0.402512943553479;6.627413821614088;6375.0;15838.0;2.7642796239682164;5.0;0.04793097340013153;-0.20458731203845593;0.8378945692535157;-1.6991622474913903;0.08928861746380365;-1.649300716520147;0.0037551120300267637;3;1.5;0.3;2
1000;2127;2.127;34;2.127;8;4.254;34;0.6360157159745605;836;0.4373679444612134;11.32744675243016;5796.0;13252.0;2.7115518113037362;4.0;0.0757126787424014;-0.26513772334792574;0.7909033678838383;-2.1462457175455145;0.03185337986940554;-2.1905733073522913;0.0006644882940749497;4;1.5;0.3;2
1000;2061;2.061;37;2.061;7;4.122;37;0.6180131099042379;827;0.4476030723051117;12.947058839630053;5070.0;11327.0;2.514802359099234;3.0;0.09127206225711637;-1.8226230791653832;0.06836049767409316;-3.3229971691319524;0.0008905581821178299;-3.031241666306346;1.1089564377897432e-08;5;1.5;0.3;2
1000;2136;2.136;30;2.136;7;4.272;31;0.6203767485542088;825;0.4036085947443288;7.060916866515022;5391.0;13357.0;2.9150483383883534;5.0;0.06824537276821244;-0.49940332658537134;0.6174952761456589;-1.8702372263294595;0.061450882345816284;-2.0585306682762505;0.004273642721527082;6;1.5;0.3;2
1000;2042;2.042;31;2.042;8;4.084;31;0.6111092986233946;826;0.40445515750976646;7.8218866387003105;4866.0;12031.0;2.4899283128061898;3.0;0.05122322708298577;0.031268678845193125;0.9750552688487546;-2.641494347719475;0.008254118442629412;-2.99632912762469;3.6253636156891034e-05;7;1.5;0.3;2
1000;1967;1.967;24;1.967;8;3.934;24;0.6303487919855151;797;0.4473950197555821;13.033889698414802;4869.0;10883.0;2.7553316239539076;4.0;0.06517544471544212;-1.2637499166767407;0.2063198025179559;-2.473872105154177;0.013365753489306713;-2.7421325694799346;0.0001619588835409802;8;1.5;0.3;2
1000;1881;1.881;26;1.881;7;3.762;26;0.6130879083306046;811;0.46363338072842614;15.22853103938042;4239.0;9143.0;2.51377969616167;3.0;0.08445672394345494;-2.8582944371611565;0.00425924974208153;-3.622022701918488;0.00029230846158297493;-3.6400761522524268;5.017627202619224e-09;9;1.5;0.3;2
1000;2225;2.225;44;2.225;8;4.45;44;0.6226796940998516;854;0.39847587857412775;6.770723990063698;6327.0;15878.0;2.6148039718361185;4.0;0.0348984937854287;1.3487908117751894;0.17740416679231108;-1.5044676207793501;0.13246100440327868;-1.8428791017573811;0.018195274980948306;10;1.5;0.3;2
1000;2144;2.144;39;2.144;8;4.288;39;0.6126191916755868;856;0.42431761786600497;7.3932573407275255;5472.0;12896.0;2.75964031206396;4.0;0.08379037287730073;-0.40223006672698025;0.6875147165413097;-2.1190763320049117;0.03408401656696767;-1.9290391165022684;0.00044929281014838285;11;1.5;0.3;2
1000;2241;2.241;32;2.241;8;4.482;32;0.6417850706579907;846;0.42588071154516915;6.862041282970774;6105.0;14335.0;2.6750830829382775;4.0;0.04594019840999303;0.1104904815077597;0.9120203983072639;-2.045852851340342;0.040770850329079684;-2.468451609347892;0.0010376608019497802;12;1.5;0.3;2
1000;2066;2.066;37;2.066;7;4.132;37;0.6450224093864866;837;0.42107750472589794;8.468959827266902;5346.0;12696.0;2.921493196469434;5.0;0.05681766767278945;0.48195150414745197;0.6298403972213062;-1.26156903627591;0.2071039038140564;-1.501844680243524;0.0400537073211823;13;1.5;0.3;2
1000;2094;2.094;24;2.094;10;4.188;24;0.6331964655262503;833;0.47472366710013003;9.525314413664493;5841.0;12304.0;2.773180196957588;4.0;0.06987775677412278;-0.4504366879096028;0.6523955959906601;-2.1609838078445627;0.03069659022657602;-2.4754091355778876;0.00075916816524213;14;1.5;0.3;2
1000;2083;2.083;25;2.083;7;4.166;25;0.6255166050272625;828;0.41005144440047486;7.964649303603772;5181.0;12635.0;2.098051170522578;2.0;0.066698428454467;-1.6364754371219739;0.10174012234223728;-4.7755322486539535;1.7923256433447222e-06;-5.277348971984663;3.6415315207705135e-13;15;1.5;0.3;2
1000;2109;2.109;54;2.109;8;4.218;54;0.6342328036922505;835;0.3926501766784452;6.694516257791151;5556.0;14150.0;2.79672258668493;4.0;0.04404552480662505;1.090564383894208;0.27546460856114174;-1.175386105289899;0.2398402798555952;-1.1168069995906862;0.05571463965868073;16;1.5;0.3;2
1000;2275;2.275;68;2.275;8;4.55;68;0.6388603323204741;858;0.34824281150159747;5.827656930995721;6213.0;17841.0;2.887734786694354;6.0;0.018196015956237988;1.3077702416168984;0.19095125052131878;-0.5710976911046471;0.5679334236227582;-0.7198367214159181;0.31530411440330397;17;1.5;0.3;2
1000;2103;2.103;39;2.103;7;4.206;39;0.6544704664212229;826;0.4065958388667552;7.250547184773989;5511.0;13554.0;2.651897845766575;4.0;0.07052556266404797;-0.06398972633675909;0.9489784072386813;-1.937050407146953;0.0527391819401356;-1.9834202416375393;0.0010882260090560036;18;1.5;0.3;2
1000;2299;2.299;75;2.299;8;4.598;75;0.6091861164985392;838;0.35128573005187064;5.749863480292539;6366.0;18122.0;2.8630745834891314;5.0;0.02003974745695969;1.4594549161081103;0.1444399406341877;-0.6327999285968479;0.5268643034103132;-0.6938077028086995;0.28098300656744035;19;1.5;0.3;2
1000;2169;2.169;26;2.169;7;4.338;26;0.6201486620846299;848;0.430283475455174;8.646231442107817;5601.0;13017.0;2.365736377278755;3.0;0.08134848537920614;-2.7815245803840156;0.005410423333374825;-3.869900455921977;0.0001088798006950627;-4.131522581504181;3.40500960760437e-10;20;1.5;0.3;2
1000;2071;2.071;47;2.071;8;4.142;47;0.6275343414349961;845;0.39011527160400816;7.20529540545703;5178.0;13273.0;2.8670515184032994;4.0;0.018617489550180055;1.7906276669451158;0.07335306419180528;-0.7519067264727355;0.4521071527426729;-0.9189499734814403;0.21193010857679906;21;1.5;0.3;2
1000;2007;2.007;31;2.007;8;4.014;31;0.6346585977380886;824;0.42562384269464776;9.802332041020877;4827.0;11341.0;2.471179571464371;3.0;0.05533720442068524;-0.8064860692312025;0.4199626372868246;-2.9876110339937973;0.002811671418461742;-3.2276764347908795;2.94838377623563e-06;22;1.5;0.3;2
1000;2446;2.446;73;2.446;9;4.892;73;0.6426228576823185;857;0.31786306260359554;4.980075801871519;7479.0;23529.0;2.5364604809652063;4.0;0.03279827061112661;2.0277302955341527;0.04258778187545033;-1.0191075415867172;0.308151914207753;-1.2514947792352635;0.08068587372016389;23;1.5;0.3;2
