beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high
0.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;0.25;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;0.5;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;0.75;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;1.25;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;1.5;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;1.75;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.0;2.0;2;200.0;200.0;0.0;0.0;200.0;200.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0;0.0;0.0;0.0;nan;0.0;0.0
0.4;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;127.0;127.0;0.0;0.0;127.0;127.0;0.635;0.635;0.0;0.0;0.635;0.635;6.0;6.0;0.0;0.0;6.0;6.0;0.635;0.635;0.0;0.0;0.635;0.635;3.0;3.0;0.0;0.0;3.0;3.0;1.27;1.27;0.0;0.0;1.27;1.27;7.0;7.0;0.0;0.0;7.0;7.0;0.18654761904761905;0.18654761904761905;0.0;0.0;0.18654761904761905;0.18654761904761905;0.44642857142857145;0.44642857142857145;0.0;0.0;0.44642857142857145;0.44642857142857145;2.06984126984127;2.06984126984127;0.0;0.0;2.06984126984127;2.06984126984127
